State,Year,Predicted
Mizoram,2027,9040.545279593998
Mizoram,2028,9598.610897865856
Mizoram,2029,8808.164106643657
Mizoram,2030,8708.378373970989
Nagaland,2023,1060.3864063905448
Nagaland,2024,1006.7001811967235
Nagaland,2025,1061.1645366618836
Nagaland,2026,988.9340019359701
Nagaland,2027,1048.8713820347746
Nagaland,2028,1021.246207747452
Nagaland,2029,1056.6380566388855
Nagaland,2030,989.777844219752
Odisha,2023,146792.213677112
Odisha,2024,163641.34265464154
Odisha,2025,176218.81782302953
Odisha,2026,197275.0382736218
Odisha,2027,207158.56195051904
Odisha,2028,217016.1476909404
Odisha,2029,240414.3282659744
Odisha,2030,267493.8573371302
Puducherry,2023,4103.640829004764
Puducherry,2024,5129.630311475371
Puducherry,2025,5233.827678967075
Puducherry,2026,4996.40034985359
Puducherry,2027,4954.01193142314
Puducherry,2028,4848.320264003534
Puducherry,2029,4948.083234367086
Puducherry,2030,4844.622971538228
Punjab,2023,44971.62025535539
Punjab,2024,49489.689645727434
Punjab,2025,50028.032604220825
Punjab,2026,48612.967273180606
Punjab,2027,45563.90622041891
Punjab,2028,43065.321400282504
Punjab,2029,44510.290190046115
Punjab,2030,49637.65973757889
Rajasthan,2023,262381.96856777644
Rajasthan,2024,276059.9571849568
Rajasthan,2025,281942.3610903246
Rajasthan,2026,267278.66395027586
Rajasthan,2027,225494.79466009178
Rajasthan,2028,168571.6769799304
Rajasthan,2029,148771.18871319297
Rajasthan,2030,143981.9159268385
Sikkim,2023,693.1768532835736
Sikkim,2024,807.3758694119376
Sikkim,2025,1118.081351597687
Sikkim,2026,1243.9793716677577
Sikkim,2027,1319.6601154253726
Sikkim,2028,1342.8858496091761
Sikkim,2029,1328.7683324193915
Sikkim,2030,1287.764603710845
Tamil Nadu,2023,163255.64053572319
Tamil Nadu,2024,162083.3369753489
Tamil Nadu,2025,174355.48941782978
Tamil Nadu,2026,157531.31729672858
Tamil Nadu,2027,175998.4238691316
Tamil Nadu,2028,157852.7833443338
Tamil Nadu,2029,176892.6428264635
Tamil Nadu,2030,158996.20429605863
Tripura,2023,4002.8992733419127
Tripura,2024,4620.287282820594
Tripura,2025,5026.333914271211
Tripura,2026,5110.3650329854745
Tripura,2027,4719.536780559339
Tripura,2028,4405.657884302195
Tripura,2029,4302.22467905208
Tripura,2030,4088.6703181191406
Uttar Pradesh,2023,246119.99767519473
Uttar Pradesh,2024,219051.5902987202
Uttar Pradesh,2025,164132.11876370007
Uttar Pradesh,2026,142741.49160393572
Uttar Pradesh,2027,135878.69114394402
Uttar Pradesh,2028,133727.29684378454
Uttar Pradesh,2029,128085.18461293513
Uttar Pradesh,2030,121980.99732425227
Uttarakhand,2023,17863.160247051608
Uttarakhand,2024,19579.63703166054
Uttarakhand,2025,19488.904728832767
Uttarakhand,2026,18527.450607598446
Uttarakhand,2027,17978.36615341699
Uttarakhand,2028,17138.758279408506
Uttarakhand,2029,16648.459717002217
Uttarakhand,2030,16286.509207776815
West Bengal,2023,151981.34676084135
West Bengal,2024,150236.8466195214
West Bengal,2025,158836.9301927929
West Bengal,2026,161085.4728887686
West Bengal,2027,184279.1176578
West Bengal,2028,197638.23831854243
West Bengal,2029,230623.15002785245
West Bengal,2030,260145.66201075443
